MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
338447000,2019-05-08T00:00:03,39.29703,-75.37787,10.9,138.2,136.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
367797720,2019-05-08T00:00:04,39.01421,-75.15275,5.0,157.6,158.0,DAISY MAE,,WDJ6432,,15.0,,,,,B
371618000,2019-05-08T00:00:05,39.0127,-75.1477,14.2,158.0,160.0,EUPHONY ACE,IMO9293595,3EDG6,70.0,0.0,199.0,32.0,9.8,70.0,B
366914190,2019-05-08T00:00:06,38.81281,-75.11818,12.1,8.3,13.0,NEW JERSEY,IMO8643078,WYU8850,60.0,0.0,86.0,20.0,,,B
367600030,2019-05-08T00:00:16,38.95518,-75.11857,2.3,171.2,511.0,SUSAN CELESTE,,WDH2672,37.0,,12.0,,,,B
369235000,2019-05-08T00:00:24,38.91948,-75.13824,0.0,46.6,155.0,OSG VISION,IMO9436537,WDF2493,31.0,1.0,46.0,15.0,6.5,57.0,A
367730710,2019-05-08T00:00:24,39.05839,-75.05712,4.7,133.1,146.0,GODSPEED,,WDI7643,37.0,,,,,,B
240463000,2019-05-08T00:01:06,38.94443,-75.17427,0.0,-142.6,155.0,BOUBOULINA,IMO9298753,SZIS,80.0,1.0,274.0,50.0,17.0,80.0,A
367563930,2019-05-08T00:00:08,38.98922,-75.13215,11.2,-72.0,338.0,DEAN REINAUER,IMO9653264,WDG7107,31.0,0.0,35.0,10.0,4.9,,A
371618000,2019-05-08T00:01:11,39.00885,-75.14572,14.2,157.0,160.0,EUPHONY ACE,IMO9293595,3EDG6,70.0,0.0,199.0,32.0,9.8,70.0,B
366914190,2019-05-08T00:01:15,38.81674,-75.11741,12.4,7.5,15.0,NEW JERSEY,IMO8643078,WYU8850,60.0,0.0,86.0,20.0,,,B
367797720,2019-05-08T00:01:15,39.01257,-75.1518,6.1,153.7,157.0,DAISY MAE,,WDJ6432,,15.0,,,,,B
367730710,2019-05-08T00:01:25,39.05749,-75.05569,5.2,123.0,139.0,GODSPEED,,WDI7643,37.0,,,,,,B
367563930,2019-05-08T00:01:18,38.99265,-75.13397,11.3,-72.1,338.0,DEAN REINAUER,IMO9653264,WDG7107,31.0,0.0,35.0,10.0,4.9,,B
367600030,2019-05-08T00:01:45,38.95446,-75.11855,2.7,168.2,511.0,SUSAN CELESTE,,WDH2672,37.0,,12.0,,,,B
338447000,2019-05-08T00:01:24,39.29402,-75.3744,10.8,138.2,135.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
371618000,2019-05-08T00:02:16,39.00473,-75.14363,14.1,158.0,160.0,EUPHONY ACE,IMO9293595,3EDG6,70.0,0.0,199.0,32.0,9.8,70.0,B
367797720,2019-05-08T00:02:34,39.01071,-75.15075,5.6,157.8,157.0,DAISY MAE,,WDJ6432,,15.0,,,,,A
538004030,2019-05-08T00:02:15,38.93165,-75.16296,0.0,-158.0,155.0,FRIO,IMO9596985,V7UU3,80.0,1.0,274.0,48.0,17.1,89.0,A
311073800,2019-05-08T00:02:33,38.98859,-75.21565,0.0,3.1,147.0,EURO,IMO9567702,C6AA5,84.0,1.0,274.0,48.0,-11.5,84.0,A
338447000,2019-05-08T00:02:33,39.29156,-75.37139,10.8,137.1,135.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
366914190,2019-05-08T00:02:24,38.82067,-75.11643,12.4,11.3,14.0,NEW JERSEY,IMO8643078,WYU8850,60.0,0.0,86.0,20.0,,,B
367600030,2019-05-08T00:02:46,38.95396,-75.11847,2.2,171.5,511.0,SUSAN CELESTE,,WDH2672,37.0,,12.0,,,,B
367563930,2019-05-08T00:02:27,38.99599,-75.13571,11.2,-71.9,337.0,DEAN REINAUER,IMO9653264,WDG7107,31.0,0.0,35.0,10.0,4.9,,B
367730710,2019-05-08T00:02:54,39.0561,-75.05369,4.7,134.6,146.0,GODSPEED,,WDI7643,37.0,,,,,,B
366914190,2019-05-08T00:03:25,38.8242,-75.11563,12.7,11.3,19.0,NEW JERSEY,IMO8643078,WYU8850,60.0,0.0,86.0,20.0,,,B
369235000,2019-05-08T00:03:24,38.91947,-75.13824,0.0,46.6,155.0,OSG VISION,IMO9436537,WDF2493,31.0,1.0,46.0,15.0,6.5,57.0,A
338447000,2019-05-08T00:03:44,39.28894,-75.36819,10.7,137.8,135.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
371618000,2019-05-08T00:03:28,39.00045,-75.14145,14.1,157.0,159.0,EUPHONY ACE,IMO9293595,3EDG6,70.0,0.0,199.0,32.0,9.8,70.0,B
367563930,2019-05-08T00:03:47,38.99987,-75.13774,11.3,-71.3,336.0,DEAN REINAUER,IMO9653264,WDG7107,31.0,0.0,35.0,10.0,4.9,,B
367797720,2019-05-08T00:03:45,39.00907,-75.14983,5.5,156.3,158.0,DAISY MAE,,WDJ6432,,15.0,,,,,B
367730710,2019-05-08T00:04:23,39.05478,-75.05165,4.8,124.7,144.0,GODSPEED,,WDI7643,37.0,,,,,,B
371618000,2019-05-08T00:04:34,38.99643,-75.13922,14.0,157.0,159.0,EUPHONY ACE,IMO9293595,3EDG6,70.0,0.0,199.0,32.0,9.8,70.0,B
240463000,2019-05-08T00:04:04,38.94443,-75.17433,0.0,-142.6,154.0,BOUBOULINA,IMO9298753,SZIS,80.0,1.0,274.0,50.0,17.0,80.0,A
367600030,2019-05-08T00:04:17,38.95325,-75.11841,1.0,163.5,511.0,SUSAN CELESTE,,WDH2672,37.0,,12.0,,,,B
366914190,2019-05-08T00:04:34,38.8281,-75.11428,12.7,16.9,22.0,NEW JERSEY,IMO8643078,WYU8850,60.0,0.0,86.0,20.0,,,B
367797720,2019-05-08T00:04:54,39.00745,-75.14891,5.6,158.8,157.0,DAISY MAE,,WDJ6432,,15.0,,,,,B
338447000,2019-05-08T00:04:53,39.28638,-75.36531,10.7,137.8,135.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
367563930,2019-05-08T00:04:58,39.00324,-75.1396,11.2,-73.1,333.0,DEAN REINAUER,IMO9653264,WDG7107,31.0,0.0,35.0,10.0,4.9,,B
367730710,2019-05-08T00:05:25,39.05377,-75.05028,5.3,136.0,147.0,GODSPEED,,WDI7643,37.0,,,,,,B
371618000,2019-05-08T00:05:41,38.99243,-75.13697,14.0,156.0,158.0,EUPHONY ACE,IMO9293595,3EDG6,70.0,0.0,199.0,32.0,9.8,70.0,B
