LAT,LONG
39.51488,-75.57387
39.45341,-75.58485
39.39612,-75.52444
39.35791,-75.50522
39.32074,-75.45716
39.27397,-75.41872
39.21016,-75.39812
39.18781,-75.39675
39.16120,-75.41185
39.10154,-75.40636
39.05463,-75.39812
39.01196,-75.33496
38.97461,-75.31162
38.92334,-75.31162
38.87632,-75.26356
38.80358,-75.18255
38.78217,-75.11390
38.93189,-74.96973
39.00556,-74.95188
39.13457,-74.89147
39.18781,-74.93953
39.19313,-75.02465
39.22088,-75.04290
39.21370,-75.07963
39.21317,-75.11224
39.18017,-75.13592
39.19241,-75.15274
39.20359,-75.16716
39.22194,-75.16647
39.24455,-75.17986
39.24428,-75.19222
39.25970,-75.20217
39.27491,-75.23865
39.30361,-75.27435
39.29086,-75.28602
39.33973,-75.32858
39.34610,-75.34986
39.34929,-75.37252
39.36416,-75.39312
39.38433,-75.41440
39.38539,-75.42813
39.43526,-75.46039
39.44374,-75.47618
39.46177,-75.53660
39.49940,-75.53797
39.52694,-75.52767
