MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
371361000,2019-05-09T00:01:19,38.94445,-75.16965,3.9,-93.6,312.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
367006540,2019-05-09T00:01:18,39.51841,-75.55175,11.5,192.2,192.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
311073800,2019-05-09T00:01:19,38.93911,-75.17867,9.1,143.3,143.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
357092000,2019-05-09T00:01:33,38.86773,-75.11421,1.1,93.6,62.0,LAVIEEN ROSE,IMO9700562,3FKN,70.0,1.0,179.0,28.0,10.1,,A
368058330,2019-05-09T00:01:17,39.28757,-75.36647,3.9,-86.2,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
366914210,2019-05-09T00:01:22,38.81236,-75.11617,11.5,13.8,21.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
369235000,2019-05-09T00:02:04,38.93088,-75.14503,3.5,8.9,339.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,A
249208000,2019-05-09T00:02:08,39.49062,-75.56101,16.7,195.4,195.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
370299000,2019-05-09T00:02:23,39.35218,-75.44023,13.3,-91.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
338447000,2019-05-09T00:02:21,39.17325,-75.2655,9.8,-84.5,326.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
371361000,2019-05-09T00:02:29,38.94535,-75.17073,3.8,-92.6,313.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
367120230,2019-05-09T00:02:22,38.92946,-75.14611,5.5,105.8,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
538004030,2019-05-09T00:02:15,38.92729,-75.16226,0.1,-115.8,44.0,FRIO,IMO9596985,V7UU3,80.0,1.0,274.0,48.0,17.1,89.0,A
369235000,2019-05-09T00:03:06,38.93202,-75.14529,4.4,-75.4,308.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,A
366914210,2019-05-09T00:02:33,38.8161,-75.11507,11.8,11.9,20.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
368058330,2019-05-09T00:02:29,39.28858,-75.36755,3.9,-95.3,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
249208000,2019-05-09T00:03:13,39.48575,-75.56274,16.8,195.2,193.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
311073800,2019-05-09T00:02:28,38.93679,-75.17644,9.0,141.6,144.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
367006540,2019-05-09T00:02:28,39.51479,-75.55285,11.5,193.7,193.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
370299000,2019-05-09T00:03:24,39.35513,-75.44363,13.3,-91.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
367120230,2019-05-09T00:03:32,38.93109,-75.14449,8.3,11.4,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
538006702,2019-05-09T00:03:37,38.96608,-75.20072,0.5,-71.5,76.0,NAMSEN,IMO9761528,V7QJ6,80.0,1.0,,,,,A
311073800,2019-05-09T00:03:29,38.93471,-75.17452,9.1,145.2,145.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
367006540,2019-05-09T00:03:39,39.51119,-75.554,11.4,194.4,194.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
366914210,2019-05-09T00:03:42,38.81982,-75.11409,11.8,11.3,20.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
338447000,2019-05-09T00:03:31,39.17589,-75.26785,9.8,-84.5,325.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
311000546,2019-05-09T00:03:48,38.91322,-75.15122,0.2,-84.1,78.0,,,,,1.0,,,,,A
368058330,2019-05-09T00:03:49,39.28958,-75.36893,3.9,-91.0,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
371361000,2019-05-09T00:03:39,38.94628,-75.1717,3.7,-92.6,311.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
240463000,2019-05-09T00:04:04,38.93985,-75.1731,0.1,-140.6,16.0,BOUBOULINA,IMO9298753,SZIS,80.0,1.0,274.0,50.0,17.0,80.0,A
369235000,2019-05-09T00:04:11,38.93302,-75.14657,4.9,-103.7,293.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
249208000,2019-05-09T00:04:20,39.48063,-75.56365,16.6,178.6,175.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
370299000,2019-05-09T00:04:33,39.35807,-75.44702,13.2,-92.6,317.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
311073800,2019-05-09T00:04:37,38.93235,-75.17238,8.9,146.8,148.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
357092000,2019-05-09T00:04:33,38.86812,-75.11311,0.8,34.2,29.0,LAVIEEN ROSE,IMO9700562,3FKN,70.0,1.0,179.0,28.0,10.1,,A
